start	end	text
473760	480600	really want to focus on these higher order thinking skills, okay? And so we're
480600	483640	going to take some time here to see that, but we're going to look at competencies in
483640	492040	your class, and hopefully you see verbs associated with that. Okay, this slide is
492040	500960	actually in Schoology, in the class that you're in, so you can go out there and use it,
500960	509480	maybe print it off, but this is a slide that gives you verbs that you can use,
510440	518400	okay, on here to help you understand what you're asking the students to do at each
518400	524000	level, okay? And so you can see when we're talking about the lower level, we're
524000	529640	talking about asking students to do things like arrange, define, describe,
529640	538120	order, outline, very simplistic concepts. But when we get up here to things like
538120	544640	analysis, synthesis, evaluation, okay, we're looking at, we want them to do
544640	555120	things like conclude, evaluate, categorize, summarize, calculate, okay? We're
555120	562600	really looking at a higher level, higher level things that we're asking them to
562600	570120	do. And when we look at these higher level verbs up here, are these verbs more
570120	578040	performance-based verbs really performing something up here? Then we are down here,
578040	586560	right? Up here we can really see, like, assemble, okay? So I'm thinking automation
586560	593880	stuff, right? We're assembling stuff. Medical lab, right? Back there, what would
593880	598440	be a good one related to that? You're setting things up, right? Can you
598440	605480	specifically set it up? Cosmo, you know, what would be a good one for Cosmo?
605480	611840	Experimenting, right? You know, so you can see that there's definitely different
611840	619200	things associated with that. Another thing I want to show you and I
619200	627380	believe, here is another form, I think this one's on Schoology as well, as a way
627380	637440	to really think about those critical thinking skills and applying them to
637480	641840	two different verbs and questions to ask yourself as you're writing that
641840	651400	curriculum, as you're writing in those course competencies. So one thing I
651400	670880	do have is what I call my verb list. And I've had this verb list for a very long
670880	679400	time, since I took this course years ago, which things have changed how it was
679400	689240	there. But my verb list looks like this.
710400	716480	Anyways, I have a verb list that looks like this, okay? And it's supposed to be
716480	721280	on Schoology, I don't want to start working there. And you can see, again, it's based on the
721280	728920	lower to higher Bloom's technology. And one of the first things I do when I'm
728920	737080	writing course competencies is I dig out my verb list. And I start with my verb
737080	741440	list, because when you write those course competencies, that curriculum, you
741440	746700	want them to start with an action verb. And so I use this verb list to help
746700	755480	decide what we're going to physically ask the student to do. So just to give
755480	763280	you an example, we're going to go to WIDS now.
767080	780960	All right, so in WIDS, for those of you that don't know, WIDS is our curriculum
780960	786720	software program that we use, and that's what WTCS system use. Lisa Riley and Tina
786720	794760	Lees on campus are our WIDS people. So if you need help specifically like putting
794760	800160	stuff in there, or getting new classes in there, or you're having issues getting
800160	806600	in to change something, let them know. When it comes to using them, you can
806600	812080	reach out to me. We have WIDS coaches on campus through the curriculum committee.
812080	816600	I'm not sure who actually they all are. I know Joe Brandil is one, I think Chris
816600	824320	Scoville is one. You can reach out to them for help as well. But I want to show
824320	828120	you my favorite classes.
839040	843880	Okay, so this is a course that I teach. Actually, it's a course I've been teaching
843880	850600	for 17 years, and I have changed it a couple times as we've gone
850600	855240	through different curriculum changes. So when you log into WIDS, when you blend
855240	862560	your course, you're going to come to a page that looks like this. And here, you
862560	870760	will see things, you will see your course outcomes, right? The course competency. So
870760	877800	I want you to look through, as I show you this class, this particular class, you
877840	883120	will notice we have course competencies, and each competency has learning
883120	889560	objectives, okay? What I want you to pay attention to here is, as we, these course
889560	894760	competencies, are you seeing those higher level verbs associated with looms
894760	904640	technology here? Summarize, okay? So the main, the main competency should be those
904640	912240	higher level looms text, sexonomy verbs. You get down to these learning objectives, it's
912240	921520	okay to use some of those lower level verbs, like explain, discuss, because you
921560	929840	sometimes you have to do those lower level activities first in order to totally
929840	937440	be able to summarize, right? And so you can see those different things on here.
937440	942320	Here we have diagram. I think diagram might actually be a lower level one, but
942320	947160	for this particular thing, it works well, right? I want them to diagram. But then I
947160	961160	get down here, demonstrate, right? Evaluate, okay? Categorize, okay? So what I'm asking
961160	965240	students to do here, these are probably the three major ones, categorize,
965240	972480	evaluate, demonstrate, okay? Methods to test feed. You know, I, we're talking
972480	977640	about evaluating the feed test report. My students are physically given a feed
977640	983640	test report, and they have to look at it and tell me how is that going to impact
983640	990800	the energy level that the cow eats? How is it going to impact milk production?
990800	996920	How's it going to impact how that animal grows? Is it going to impact how well
996920	1002760	they eat it, the digestibility and their intake? Okay, I'm not speaking Austin's
1002760	1007720	terms a little bit. I know this background, but you know, but those types
1007720	1014840	of things. And it's challenging for the students at first to really comprehend
1014840	1021160	and pull all that together, but through lots of practice, they're able to do
1021200	1029520	that, okay? And I'm able to actually, because I'm a dairy farmer myself, I use
1029520	1035280	our test report. So they're seeing real actual stuff that we use every day on our
1035280	1039080	farm. I actually work with my nutritionist too, and she doesn't like to
1039080	1045840	share with me, but I'll be like, Katie, I need some bad feed reports. And she's
1045840	1051960	like, oh, okay. So I can show what a bad corn silage is, or what a bad haylage is,
1051960	1057600	so they can see the difference in the numbers. And then how I totally assess
1057600	1067400	that one is they are given a stack of haylage reports, a stack of corn silage
1067400	1072680	reports, and a stack of dry hay reports, and they have to rate that. Which one do
1072680	1077060	they consider the best, and which one do they consider the worst, and why? And they
1077060	1085120	have to use the term digestibility, dry matter intake, okay, protein, energy. They
1085120	1090960	have to use all that to really show and demonstrate, and help show me that they
1090960	1100240	can evaluate a feed test report, okay? You will also see as you look through
1100280	1109240	with here, okay, they evaluate assessment strategies. We talked about the objectives,
1109240	1113280	those lower levels. We will also see under each one here in some assessment
1113280	1124080	strategies, how different ways that you could use to assess, and then how will the
1124080	1129080	student know when they are successful. So right here you can see write a report
1129120	1139640	explaining the details of the feed test report. And so those understanding, those
1139640	1143680	different types of assessments in this program. One thing I also like to do is I
1143680	1150040	like to do scenarios. In a lot of my advanced level classes, we'll give
1150040	1155840	them a scenario and tell them, especially when we're balancing rations, okay, what
1155840	1164320	are you going to do in this scenario? Demonstrations for this class. Like I said,
1164320	1174080	using the feed test reports, but I also take them out to the farm, and I make
1174080	1180840	them walk cows, okay? So when we're, with my farm being only five minutes from
1180840	1185560	campus, it gives quite a bit to the farm. But when we're talking about the
1185560	1190840	digestibility of feeds in cattle, we're talking about you got to analyze their
1190840	1197040	feces, their poop, okay? Comes with the game, all right? So I make them go up to
1197040	1204480	my farm and tell me my cows have good or bad poop, right? And it's, I think it's
1204480	1210080	one of the funnest labs. Some of them enjoy it. Some of them hate it. Some of
1210080	1213160	them definitely determine they do not want it. It's funny, they come into animal
1213160	1217720	nutrition class, and they want to work in animal nutrition. I know Austin's sister
1217720	1223400	does. And then they leave the class, I don't want anything to do with it. So
1223400	1228160	it's, so it's, so there's a lot of different ways that we have that we
1228160	1232360	demonstrate those performance-based learnings. So think about that. Any
1232360	1242240	questions on using this? Now, something I've added to this is, let's see if
1242240	1259600	we can get it. We have AI on campus, right? And we, we're promoting using it for
1259600	1267000	different things, right? So, you know, you could use AI to help you design
1267000	1271560	performance-based learning. So I'm going to go back here to WIDS. Let's just say I
1271680	1277760	have my course description, okay? I'm going to go ahead and I'm going to copy
1277760	1284520	that. Now, I'm not a Chad G. Kravitz either, okay? But we're going to try this. So I'm
1284520	1290480	going to paste it in here, and then I'm going to say, using this course
1290480	1305160	description, come up with a variety of performance-based learning activities
1305160	1321560	that could be done with a, be done in an animal nutrition course for associate
1321560	1330600	degree level students. And I've never done this before, so let's see what
1330600	1349320	happens here. Ration formulation, rationality, feed cost optimization, life
1349320	1355520	stage adjustment exercise, nutritional needs of different species. Notice they're
1355520	1359560	starting to give us tasks. Comparative nutrition setting. Let's just say I wish, I
1359800	1365760	wish I had this like 10 years ago, five years ago, right? When I was revising this.
1365760	1376080	Feedstuffs, okay? And as we look through this, notice we can, they've got sub verbs
1376080	1381200	in here, right? Performance evidence, identification, understanding. So we
1381200	1388480	could, you could take that advisory role. Oh, I like that. You could take that and
1388480	1395040	you can look at what they have and use that to get you started, okay? When it
1395040	1400720	comes to writing your competencies and objectives, okay? A few little tweaks that
1400720	1405240	need to be done. You know how many hours I spent trying to analyze this list to
1405240	1412680	figure out which verb I wanted to use, right? And so it comes quite a bit. Any
1412720	1420760	questions on anything? Any questions from those of you online? Okay, what I want you
1420760	1432320	to do right now is I want you to log into WIDS and I know there's a lot of
1432320	1438680	adult education instructors online. I don't know what your access is. If you
1438680	1446600	don't have access to WIDS, I did put in Schoology here some WIDS examples. I
1446600	1451760	threw some, I just randomly went out there and put some course outcome
1451760	1457200	summaries that have these competencies and stuff in there. So feel free to use
1457200	1461360	those. Those of you that are program instructors, I really would like you to
1461360	1470240	go into WIDS if you can. Miranda, I don't know if you have access to WIDS. Okay, so
1470240	1474120	hopefully you can get in. If not, I was gonna say you can share with Lauren, but
1474120	1480880	good. Get into WIDS. Ty, I can help you get in. Find a course that you teach and I
1480880	1486520	really want you to take about 10 minutes here and I want you to review and check
1486680	1494360	out those competencies and objectives and are you seeing terms
1494360	1501560	they're related to Bloom's? And then I want you to think of, as you'll see in
1501560	1506920	WIDS, we talked about there's examples there of things that you can do to
1506920	1511400	assess that performance, phase 30, but I want you to think, especially because
1511640	1518040	you're the ones teaching this class now, right? What would you do? What could you
1518040	1527680	do as a performance-based assessment to test, assess that competency? Is it
1527680	1532440	tweaking one you already use? Do you have another idea that's coming to mind
1532440	1538320	that could maybe be better of what was used by your predecessor, okay? So I want
1538680	1545000	to take some time now. Like I said, I'll start with about 10 minutes and really
1545000	1550800	work through that, see what you can find, see what you can come up with, and then
1550800	1556480	we'll come back and share. Those of you online, go ahead and do this. In about 10
1556480	1560840	minutes, I'm gonna actually put those of you in line into breakout groups so that
1560840	1566240	way you can share with each other what you came up with. Any questions on
1566720	1572240	that? Christine, this is Marlene Klein. I don't know if this is appropriate or
1572240	1579520	not. My curriculum, our all basic ed curriculum, we have it on the Wisconsin
1579520	1588320	Technical College site. How do we download? Does it automatically download?
1589760	1594560	All right, that's a question that I'm not aware. I can't help you with that question, Marlene.
1594640	1598640	All right, that's fine. Thank you. I don't know if maybe some of the other adult
1598640	1606480	education instructors can help you with that, but I'm, yeah, sorry. No, that's fine. I just
1606480	1612880	threw it out there because I can look at my thing on the Wisconsin Technical
1612880	1618240	College site, so that's not a problem. I just was curious to see if there was an easy way to download
1618240	1625120	into our WIDS. Yeah, that would be at least a Tina question. Those of you that are adult ed,
1625120	1628640	thank you for bringing that up, Marlene, that you have access to what you guys have to teach in
1628640	1633760	those competencies on the website. Feel free to go use that instead of WIDS and to look at your
1633760	1642800	guys' specific because I want you to really make this activity related to what you're doing
1643360	1649120	in the classes that you teach. So go do that. And like I said, in about 10 minutes,
1649840	1653840	I'll put online into breakout groups. You guys can share with each other.
1658800	1660560	Adult ed curriculum is also...
1664240	1669760	This stuff is going to be rewritten by the end of the year. Those of you online,
1669760	1673840	I am going to go ahead and mute the classroom right now, try to help me remember guys in here
1673840	1681680	that I'm meeting so you're not hearing the backfeed in us talk.
2209760	2217120	Okay, those of you online... Oh, I see a chat. Did I miss that?
2222400	2229600	I'm going to go ahead and break those of you online into, I think, three breakout groups.
2230400	2236480	And you guys can just share a little bit about the information that you found, the competencies,
2237040	2246480	and that you feedback virtual, shared neighbor feedbacks, share maybe the performance
2246480	2251280	assessment idea you came up with. And I'll give you a few minutes to that and then I'll bring you
2251280	2258400	back in. All right, breakout rooms. I'm going to put you into three and I'm just going to do
2258960	2264320	assign automatically and you'll just go. Here we go.
2267120	2274320	Okay, so those of you here face-to-face.
2274320	2282160	Okay, so those of you here face-to-face.
2304320	2310160	Okay, so those of you here face-to-face.
2334320	2340160	Okay, so those of you here face-to-face.
2364320	2370160	Okay, so those of you here face-to-face.
2394320	2400160	Okay, so those of you here face-to-face.
2424320	2430160	Okay, so those of you here face-to-face.
2454320	2460160	Okay, so those of you here face-to-face.
2484320	2490160	Okay, so those of you here face-to-face.
2514320	2520160	Okay, so those of you here face-to-face.
2544320	2550160	Okay, so those of you here face-to-face.
2694320	2700160	Okay, so those of you here face-to-face.
2724320	2730160	Okay, so those of you here face-to-face.
2739760	2745200	Megan, are you on virtual? Yeah, I just figured since all of the
2745200	2751920	adult ed people are in there, if I have questions for them.
2751920	2756480	Okay, if we, like when we, because we're trying to do this at the end, like
2756480	2758720	little things, if you want to like go up across the
2758720	2761680	hallway to a different room, like join their breakout room to discuss
2761680	2768240	some of them, I would be cool with that, okay?
2768240	2772160	All right, all right, all right.
2772720	2780560	Everybody back? I'm doing this. All right, is everybody
2780560	2783840	back? Good, I hope that those of you online
2783840	2791520	enjoyed some sharing with your groups about what the different
2791520	2797600	things that you learned. We're going to, we discussed
2797600	2800560	here in the class, and we're just, I want to go ahead and keep moving
2800560	2805120	on. If you need to step away from your computer for a minute or two,
2805120	2809600	feel free to, but because those of us on campus do have something else
2809600	2812800	at 12 30, I'm just going to go ahead and keep moving
2812800	2818240	and pushing through this right now. So, we're going to move on, let me get the
2818240	2822480	power point up. Okay,
2822480	2829440	I have them on there. Okay, activity time.
2829440	2833920	Okay, and I knew that. All right, so we're going to move on to
2833920	2841600	formative and summative assessment. Okay, so what is the difference
2841600	2849840	between formative and summative assessment? Formative assessment is
2849840	2854720	when we evaluate how someone is learning
2854720	2858240	material throughout a course. Okay, typically
2858240	2862800	it takes place during a course. You do it on a regular basis.
2862800	2868480	It's very flexible. It helps to keep students engaged.
2868480	2871360	This type of assessment does not necessarily
2871360	2878320	have to be be graded. Okay, so for example,
2878320	2882000	some formative assessments that I do when I'm
2882000	2886240	lecturing throughout a powerpoint, I might
2886240	2893200	every few slides, I'll say review and I'll pop up. We'll do two or three
2893200	2896560	like true false open-ended questions and I'll just have
2896560	2899600	students shout out the answers. Okay, and if
2899600	2905120	they're seeing lost or whatever, then I'll be like, okay, well let's go
2905120	2908400	back and talk. Or if nobody answers, okay, where are you confused?
2908400	2912000	So I can kind of assess that right there.
2912000	2918640	Sometimes I do table talks. All right, again, same thing every few
2918640	2922160	slides is I'll be like, table talk. Turn to your neighbor. Turn to your
2922160	2926960	people at the table and talk for a minute,
2926960	2930240	30 seconds, short time frame. Share what we just learned.
2930240	2935840	Repeat. Repeat that phrase, that acronym trying to get into your head. Say that to
2935840	2940000	each other. Okay, those are simple things that can be
2940000	2945680	done as you're going throughout the day.
2945760	2950160	Review questions beginning of class over what we talked about the day before.
2950160	2954000	Okay, and that's a pretty common one. Hey, we talked about this yesterday or
2954000	2957600	you know, last time we met. How do we go about doing that?
2957600	2963440	No card at the end of the week. I've tried this before. Some people
2963440	2968000	like do a no card or post it every class period. I did just at the end
2968000	2971840	of the week and I would have them. They couldn't leave class so they handed
2971840	2975520	me the no card and they could ask a question that they had
2975520	2980000	or something that they learned that week. I feel that when I do that
2980000	2985840	sometimes it gives those students that are a little hesitant to speak up in
2985840	2991520	class and say I'm confused about this. I don't really understand. They might
2991520	2993760	and they don't have to put their name on these no cards, okay?
2993760	2998400	But you learn you learn writing, right? So you know who's
2998400	3002640	after time. But you know and sometimes it gives them
3002640	3006240	a little confidence to say, hey, can you review this because I'm really not
3006240	3009120	understanding it? And so then you can come back and you
3009120	3015360	can do that in class. Okay, so formative. We're evaluating
3015360	3022080	as we're learning. Summative is to evaluate how much someone has learned
3022080	3026480	throughout the course. Typically this is going to be
3026480	3031680	some type of final evaluation at the end of a unit,
3031680	3036160	at the end of a course, and it's usually cumulative. It's going to
3036160	3042160	cover everything. The ultimate goal of this is to evaluate
3042160	3049520	the long-term retention of materials, okay? So examples of this
3049520	3057040	include unit test, final exam or project for a course,
3057040	3064160	capstone projects, an in-depth report or presentation, a personal reflection
3064160	3070240	paper. Here, right in the technical college system, and we're going to talk a
3070240	3074240	little bit about it towards later, but we rely on on TSA, right?
3074240	3079360	Technical skill attainment. How are we showing that our students
3079360	3083760	are demonstrating these technical skills that we say they're going to do?
3083760	3090640	Okay, and if you talk to Lisa, as she Lisa Riley, not Lisa P.
3090640	3095120	Riley, Lisa Riley, she will tell you that ideally you want
3095200	3102640	these TSAs to be at the end, right? The end of the
3102640	3108800	program. How can we test, see what these students have done? So for us,
3108800	3113280	in animal science, we have a capstone project, and they actually build that
3113280	3117760	capstone project pretty much their whole second year there on campus,
3117760	3122480	and they build different parts of it in various classes,
3122480	3127840	and then they combine it all together at the end. They have to do a do a report on
3127840	3132720	it, okay? So can they do that? Another
3132720	3139040	summative example that I do is, actually in the
3139040	3146240	animal science program, we'll do it, is we make them analyze a font.
3146240	3151920	In our dairy students, they actually participate in what's called
3151920	3156640	Midwest Dairy Challenge, where they have to go
3156640	3161200	and analyze a farm, all the data from the farm, and then they have to
3161200	3166240	on everything from health to reproduction to financials,
3166240	3171920	they go and they tour the farm, and they have to look at the buildings and
3171920	3175360	ventilation and all that stuff, and then they come back,
3175360	3178960	and they like to consult it. So they're taking everything they learned in all
3178960	3184000	their individual classes, okay, in their health class, in their
3184000	3187840	housing class, in their retro class, and they're applying it
3187840	3191360	to this farm and analyzing it and saying, okay, hey,
3191360	3195120	these are some strengths that you have, these are some opportunities, maybe you
3195120	3199600	can tweak this vaccination plan, maybe you should add some fans to do
3199600	3202640	that. So that's what the dairy students do, and they actually
3202640	3207520	do it with students from other colleges. I've applied it and tweaked that
3207680	3211600	we do it on the livestock side, and I do the exact same thing
3211600	3215360	with some beef farmers in the area. I have three different beef farmers that
3215360	3218160	I rotate through, so they only have to do it every three
3218160	3223040	once every three years. I don't ask the beef farmers for financials, we don't get
3223040	3226480	into that, but we do the exact same thing. They go out
3226480	3231040	end of their last semester, they analyze the farm, can they bring it all together?
3231040	3235280	Can they take everything we've done? So that's kind of our
3235680	3238320	summative assessment, are we bringing, can they,
3238320	3241920	have they taken everything that they learned and brought it together?
3246000	3250800	So I think I put this on Schoology, I don't know if I did, this is just
3250800	3257280	on half of the page, but this here is something I have hanging in my office,
3257600	3267440	and you can probably find these on Google too, or chat jpt to help you.
3268160	3274080	These are examples of learner-centered teaching to help them kind of teach
3274080	3277600	themselves learn. A lot of these make good informative
3278720	3282080	assessments as you're working through it, okay?
3282320	3291440	Cooperative learning, I think we're good at brainstorming, create media, discussion,
3292160	3299360	jigsaw, small groups. So again, these are just some ideas, I think this is on
3299360	3304960	Schoology. If it's not, I will put it on there. If anyone would like to see
3306320	3311680	a copy of this whole thing that I have hanging in my office, I'm more than willing
3312320	3329120	to do that. So again, we have the use of AI for this, so we could build on this
3329120	3337920	nutrition one. So we're going to say, I'm going to say take number one,
3342640	3346960	okay. You're showing a PowerPoint, we can't see it on the remote end.
3347760	3351360	No, I'm not showing a PowerPoint. I have chat jpt up. Do you see that?
3353920	3360240	No. You just stopped sharing your screen. Oh, I just stopped sharing instead of,
3364240	3368880	all right, hold on there with me. Thanks for letting me know. Okay, now do you see chat jpt?
3372320	3378960	Yes, okay. All right, good. So what I'm going to do here is I'm going to build on what we have here,
3380240	3384560	and I'm going to, I'm not, again, I'm not the expert, but I might be able to say something,
3384560	3392800	but I'm just going to go ahead and copy this first one here, and I'm going to put it back here,
3393760	3408720	paste it down here, and I'm going to ask it, say using the above, design some formative
3413520	3415920	and summative
3416240	3433040	assessments, okay. Let's see what they suggest, okay. Nutrient requirement identification
3433040	3440480	test check. Given a scenario, have them identify. So we're using a scenario situation here. Worksheet
3440480	3450160	or quiz. Using the Pearson square. You know what the Pearson square is? Cool, right? Having them
3450160	3461760	actually do that. Worksheet, okay. So you can see just using peer review and discussions, okay. So
3461760	3475200	you can see using chat jpt and AI can also help you analyze what you might do for
3475200	3478640	for
3482320	3495760	assessments. Back to my PowerPoint here. So in WIDS, when you do design your curriculum in WIDS
3495760	3503440	and you're choosing your assessment strategies, they will give you, they will give you some
3503440	3510480	options. So again, to kind of help with that brain freeze, that brain fog, what I want to do,
3510480	3515680	and I can't really show you because I don't have a course in like a work in progress to build on
3515680	3523520	assessment, but you can see they have, they give you ideas in WIDS. This is copied right from WIDS.
3523520	3531600	A case study, a written objective test, a scenario, identification, skill demonstration,
3531600	3537120	right? Wait, Cosmo, skill demonstration. It's a big one that's going to come up there. So those
3537120	3546160	are different ways that you can assess. And when you see, and when you look at, right, if we go back
3546160	3556480	to, right, we go back to, we go back to WIDS and your course outcome summary, right? We have examples
3556480	3561920	right here, assessment strategies. So all these assessment strategies that you're seeing here
3562800	3571520	came, most of them came from WIDS, okay? Sometimes because of specific classes that you
3572160	3580640	teach, okay? Awesome, I pick on you, right? You might say assessment track, assessment strategies
3580640	3587280	using, physically like using the robots in the classroom, right? Well, WIDS doesn't have using
3587280	3593760	robots in the classroom as an option, right? I believe you can like add that to it, okay? Or
3593760	3602000	you could just be, it could just be something as like using appropriate equipment for the thing,
3602000	3608640	right? So sometimes based on, these you can see are very, very generic, but sometimes based on
3608640	3614720	the specific program that you're teaching, your, or class that you're teaching, that assessment,
3614720	3622160	those assessment strategies could be, could be very specific. So what I want you to do right now
3623040	3632800	is you can, and it can be the, the class that you're using. I want you to think and don't
3632800	3639680	forget to use chat JPT to come up with, and you can look through what you have in WIDS, there might
3639680	3646240	be something there, come up with an example of a formative and summative assessment that you might
3646240	3651200	use in your class, okay? And then we're going to share that, and then you're going to share that
3651200	3656720	with, with the group. So online, think about the class that you were looking at, think about a
3656720	3663920	formative and summative assessment that you might use. And actually I'll have you guys share with,
3663920	3670640	with the, with the large group, a couple of you, when we come in a few minutes after you think
3670640	3683600	about that. I've got 10 minutes here on the slide, but I might cut it to like, I'm actually just got
3683600	3695920	my timer for eight. When I do things like this in the classroom, I do tend to set my timer on my book
3695920	3704240	or like I have a kitchen timer to help kind of. That's the reason why I have a smartwatch is to set
3704240	3704560	my timer on.
3734240	3758480	Thank you.
4214240	4236000	Okay, so I'm going to ask two people in the face-to-face group to share some, at least
4236000	4241200	one assessment, either formative or summative, that they came up with for their course.
4241200	4263600	And I'd like to have two people online share a couple of ideas that they came up with.
4263600	4270520	So how about we go one face-to-face, one online, one face-to-face, one online.
4270520	4274600	So is there someone in the classroom here that would like to share with everyone an
4274600	4282560	idea that they came up with for an formative or summative assessment?
4282560	4283560	Any volunteers?
4283560	4284560	Okay, go ahead.
4284560	4285560	Go ahead, Megan.
4285560	4290560	I just don't want to be the only one to volunteer.
4290560	4302840	Okay, so I was back in those communications slash RLA requirements on WIDS, and I was
4302840	4310760	looking at the standard is communicate effectively using current technology.
4310760	4322800	So for formative, I thought we could analyze different written and video news stories for
4322800	4330920	meaning, style of language, just because this is the last of the standards.
4330920	4335960	And before that, it's like determine bias, determine style of language, determine purpose
4335960	4340160	of the communication, whatever it is.
4340160	4344040	And so are they trying to convince you of something?
4344040	4346200	Do they have any bias in their language?
4346200	4351000	Is there information that's missing, how trustworthy are they, et cetera?
4351000	4355600	And then they can write an outline for a speech or paper based off of that.
4355600	4359280	So what is the thesis, what are the good ideas here?
4359280	4363800	And we can also look at a bunch of different styles of communication as well, just to tie
4363800	4365560	it to different subjects.
4365560	4373200	So one of the ways that I could tie it to social studies curriculum is, can we look
4373200	4379440	at, there have been several historical events through the United States history where the
4379440	4384960	president has come onto television and addressed the whole country.
4384960	4393760	I'm thinking FDR after the bombing of Pearl Harbor, George Bush after 9-11.
4393760	4398560	So what are the topics that they're talking about?
4398560	4400640	What is their goal?
4400640	4402440	What is their potential bias?
4402440	4403440	Can you outline?
4403440	4409520	So actually connecting two subject areas into one, very good.
4409520	4410520	Good idea.
4410520	4411520	Okay.
4411520	4417320	Can I have somebody online share a formative or summative assessment idea that they came
4417320	4426040	up with?
4426040	4427040	I can go.
4427040	4428040	All right.
4428040	4431800	I think this is it.
4431800	4435880	So I teach ESL, the very beginning of it.
4435880	4443520	So one of the first things we do is teach how to introduce themselves, say hello, ask
4444080	4449800	questions about what you do for work, where are you from type of things.
4449800	4455880	So what I do is I teach the concept first and we teach the language, they practice the
4455880	4464520	language and then toward the end of the class time, we'll take some time to tie it all together
